序号,文件夹名称,匹配行数,输出文件,状态
70,1199175255-8,1,E:\Data\USD\kook\1199175255-8\1199175255-8.xlsx,已生成
71,1199175255-10,1,E:\Data\USD\kook\1199175255-10\1199175255-10.xlsx,已生成
72,1199175255-11,1,E:\Data\USD\kook\1199175255-11\1199175255-11.xlsx,已生成
73,1199175255-12,1,E:\Data\USD\kook\1199175255-12\1199175255-12.xlsx,已生成
74,1199175255-13,1,E:\Data\USD\kook\1199175255-13\1199175255-13.xlsx,已生成
75,1199175255-14,1,E:\Data\USD\kook\1199175255-14\1199175255-14.xlsx,已生成
76,1199175255-15,1,E:\Data\USD\kook\1199175255-15\1199175255-15.xlsx,已生成
77,1199175255-16,1,E:\Data\USD\kook\1199175255-16\1199175255-16.xlsx,已生成
78,1199175255-17,1,E:\Data\USD\kook\1199175255-17\1199175255-17.xlsx,已生成
79,1199175255-18,1,E:\Data\USD\kook\1199175255-18\1199175255-18.xlsx,已生成
80,1199239211-1,1,E:\Data\USD\kook\1199239211-1\1199239211-1.xlsx,已生成
81,1199239211-2,1,E:\Data\USD\kook\1199239211-2\1199239211-2.xlsx,已生成
82,1202023785-1,1,E:\Data\USD\kook\1202023785-1\1202023785-1.xlsx,已生成
83,1204864536-1,1,E:\Data\USD\kook\1204864536-1\1204864536-1.xlsx,已生成
84,1204864536-2,1,E:\Data\USD\kook\1204864536-2\1204864536-2.xlsx,已生成
85,ACI483650812092339-4,1,E:\Data\USD\kook\ACI483650812092339-4\ACI483650812092339-4.xlsx,已生成
86,ACI483650812092339-5,1,E:\Data\USD\kook\ACI483650812092339-5\ACI483650812092339-5.xlsx,已生成
87,ACI483650812092339-6,1,E:\Data\USD\kook\ACI483650812092339-6\ACI483650812092339-6.xlsx,已生成
88,ACI483650812092339-7,1,E:\Data\USD\kook\ACI483650812092339-7\ACI483650812092339-7.xlsx,已生成
89,ACI483650816802271-1,1,E:\Data\USD\kook\ACI483650816802271-1\ACI483650816802271-1.xlsx,已生成
90,ACI483650816802271-2,1,E:\Data\USD\kook\ACI483650816802271-2\ACI483650816802271-2.xlsx,已生成
91,ACI483650816802271-3,1,E:\Data\USD\kook\ACI483650816802271-3\ACI483650816802271-3.xlsx,已生成
92,ACI483650816802271-4,1,E:\Data\USD\kook\ACI483650816802271-4\ACI483650816802271-4.xlsx,已生成
93,CCH30235081258797-1,1,E:\Data\USD\kook\CCH30235081258797-1\CCH30235081258797-1.xlsx,已生成
94,CCH30235081258797-2,1,E:\Data\USD\kook\CCH30235081258797-2\CCH30235081258797-2.xlsx,已生成
95,CCH30235081258797-3,1,E:\Data\USD\kook\CCH30235081258797-3\CCH30235081258797-3.xlsx,已生成
96,CCH30235081258797-5,1,E:\Data\USD\kook\CCH30235081258797-5\CCH30235081258797-5.xlsx,已生成
97,CCH30235081258797-6,1,E:\Data\USD\kook\CCH30235081258797-6\CCH30235081258797-6.xlsx,已生成
98,CCH30235081258797-7,1,E:\Data\USD\kook\CCH30235081258797-7\CCH30235081258797-7.xlsx,已生成
99,CCH30235081258797-8,1,E:\Data\USD\kook\CCH30235081258797-8\CCH30235081258797-8.xlsx,已生成
100,CCH30235081258797-9,1,E:\Data\USD\kook\CCH30235081258797-9\CCH30235081258797-9.xlsx,已生成
